URL,file_name,Название
http://www.aup.ru/files/m250/,m250.txt,теория общественного хозяйствования (альтернатива экономической теории и экономикса)
http://www.aup.ru/files/m714/,m714.txt,комплексный экономический анализ
http://www.aup.ru/files/m840/,m840.txt,история экономических учений
http://www.aup.ru/files/m895/,m895.txt,введение в экономику: основы экономического анализа
http://www.aup.ru/files/m963/,m963.txt,основы макроэкономического анализа
http://www.aup.ru/files/m991/,m991.txt,основы микроэкономического анализа
http://www.aup.ru/files/m998/,m998.txt,микроэкономика. основы теории рыночной экономики
http://www.aup.ru/files/m1221/,m1221.txt,микроэкономика
http://www.aup.ru/files/m1224/,m1224.txt,макроэкономика
http://www.aup.ru/files/m1244/,m1244.txt,история экономического анализа
http://www.aup.ru/files/m1301/,m1301.txt,исследование социально-экономических и социально-политических процессов
http://www.aup.ru/files/m1402/,m1402.txt,исследование социально-экономических процесов в современной россии
